"timestamp","source_path","destination_path","review_type","confidence","action_taken","notes"
"2026-04-03T22:06:37.2392584-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-23 175341.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-23 175341.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-23)"
"2026-04-03T22:06:37.2469940-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-30 180343.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-30 180343.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-30)"
"2026-04-03T22:06:37.2494961-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-30 180357.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-30 180357.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-30)"
"2026-04-03T22:06:37.2515041-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-30 180401.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\School_Screenshot_Review\Screenshot 2026-03-30 180401.png","screenshot_review","medium-high","moved_to_review","Date-clustered into school review from sampled PLC/CAD/course context (2026-03-30)"
"2026-04-03T22:06:37.3035828-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 161945.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 161945.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3065939-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 161953.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 161953.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3085875-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162003.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162003.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3101195-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162011.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162011.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3116313-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162022.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162022.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3126509-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162028.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162028.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3136513-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162036.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162036.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3156414-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162042.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162042.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3166493-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162053.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162053.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3186451-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162101.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162101.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3196416-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162108.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162108.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3206407-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162519.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162519.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3221437-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162526.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162526.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3245839-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162531.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162531.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3255849-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162537.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162537.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3265822-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162542.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162542.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3281015-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162613.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162613.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3301141-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162619.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162619.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3311178-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162624.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162624.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3326357-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162630.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162630.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3336576-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162634.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162634.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3357254-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162846.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162846.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
"2026-04-03T22:06:37.3367255-04:00","C:\Users\riley\Pictures\Screenshots\Screenshot 2026-03-27 162914.png","C:\Users\riley\Drive-Staging\Archive\07_Low_Confidence_Sorting\Axiom_Screenshot_Review\Screenshot 2026-03-27 162914.png","screenshot_review","medium-high","moved_to_review","Date-clustered into Axiom review from sampled Worker Suite / Axiom site context (2026-03-27)"
